url,title,author,view,recommend,tag,synopsis,count,img
https://novelpia.com/novel/355334,나락간 버튜버가 되었다,유체르,"762,757","52,936","#현대
#일상
#인터넷방송
#TS
#버튜버
#노맨스
#연예계
#빙의",나락가서 이적했다.,124,https://images.novelpia.com/imagebox/cover/ccbafb2db05fa43da00e1953239acb22_328487_ori.file
https://novelpia.com/novel/358598,던전의 1층 수문장이 되었다.,닥터페퍼치킨마요,"963,722","74,824","#판타지
#중세
#무협
#착각
#낭만
#먼치킨
#던전운영","감히 나와 싸우는데 실수를 해?!

감히 보스방까지 오다가 아이템을 전부 사용해버렸다고?!

감히 수백 가지나 되는 내 패턴을 모두 학습하지못했다고!?

그럼 죽어.

돌아가라 애송이.

너희들은 아직 준비가 안됐다.",95,https://images.novelpia.com/imagebox/cover/a5b36f9a5a6c6c4d49143fd981ab32b0_377326_ori.file
https://novelpia.com/novel/310025,"버튜버지만, 출근합니다",망크빵,"4,555,365","433,790","#현대
#일상
#인터넷방송
#버튜버
#TS
#나데나데","버튜버긴 한데, 사실상 직장인이에요.

사장님 제외 그룹 내 구독자 수 1등이라고요?

그거 전부 공식 계정 구독자라 의미 없어요.

왜 정식 데뷔 안 하냐고요?

... 그래서 여러분이 뭘 할 수 있죠?",335,https://images.novelpia.com/imagebox/cover/7acdba7ab392f6fcb4777b501706a75c_218625_ori.file
https://novelpia.com/novel/336586,로판 속 악녀의 스승이 되었다,미카만세,"152,683","11,055","#판타지
#빙의
#아카데미
#착각
#먼치킨
#성장
#대마법새
#인외","로판에 빙의했다.

재능도 넘치는 김에, 악녀의 스승이 되기로 했다.

“…그래서, 스승님은 왜 참새 모습이신가요?”

[그렇게 태어났으니까.]

자꾸 날 대마법사로 오해한다.

진짜 참새인데.",21,https://images.novelpia.com/imagebox/cover/dc35943f83b6a035f802ed0e745e58dc_438779_ori.file
https://novelpia.com/novel/369838,다크 판타지 초월자 단톡방의 주인이 되었다,별밤바,"431,124","26,052","#판타지
#중세
#하렘
#환생
#착각
#먼치킨
#마법","익명 단톡방.

내가 만들 때만 해도, 이렇게 괴물 같은 초월자들만 모여 들 줄은 몰랐다.

내가 그들의 수장이 될 줄은 더더욱.",42,https://images.novelpia.com/imagebox/cover/5f2d13d95b4766ec6d6292c9e0b4da92_415083_ori.file
https://novelpia.com/novel/97161,로판 속 공무원,보르지긴,"31,077,456","2,136,688","#판타지
#라이트노벨
#중세
#하렘
#일상
#빙의
#아카데미파견공무원","무료분만 찍먹하고 뱉었던 로판에 빙의했다.
다행히 빙의한 몸 속에 흐르는 피가 푸르고도 푸르러 먹고 사는 것에 문제는 없었다.

""우리 가문의 영화는 황실로부터 대대로 받은 은덕 덕분이다.""

그 대가인지 제도 광장에서 황제 초상화 좀 열심히 흔들 것 같은 아버지를 두었고, 강제로 공무원 루트를 밟게 되었다.

남들 로맨스 찍을 때 나는 싱글벙글 공무원 라이프를 보낸다.


[ 표지 일러스트는 작가가 외주를 통해 제작한 일러스트로, 저작권은 작가에게 있습니다. ]","1,237",https://images.novelpia.com/imagebox/cover/7dcb062499df23410eb890cf3e71b51b_144170_ori.file
https://novelpia.com/novel/346751,회귀한 검은 머리 감독은 미쳤다.,홀본,"989,205","69,345","#스포츠
#현대
#감독
#축구
#상태창","펩 과르디올라의 포지션 플레이, 위르겐 클롭의 게겐프레싱과 달리.

내 축구 철학은 간단했다.

축구는,

아파야 한다.",123,https://images.novelpia.com/imagebox/cover/bf15689dbc836de9fc6395276386d188_612515_ori.file
https://novelpia.com/novel/194441,"여자가 되었으니, 버튜버 합니다.",다장,"13,543,023","848,900","#현대
#일상
#TS
#인터넷방송
#버튜버
#유쾌
#힐링
#연예계","남자의 마음은.
남자였던 내가 제일 잘 안다.",653,https://images.novelpia.com/imagebox/cover/ad49f65e40ea1b6adca6a275d7077236_241643_ori.file
https://novelpia.com/novel/348778,흑막 가문에게 입양당했다,아기소금,"1,206,943","115,093","#판타지
#TS
#환생
#백합
#집착
#구원
#의존","환생 이후, 나는 용사파티의 일원이 되기를 꿈꿨다.

흑막 가문의 새 딸이 아니라.",123,https://images.novelpia.com/imagebox/cover/e74b3c5ed3939a4d529b7ed2de4cf618_106345_ori.file
https://novelpia.com/novel/365121,"인생 3회차, 악질 훈수충 스트리머가 되었다",하몬,"630,531","30,005","#현대판타지
#일상
#먼치킨
#훈수충
#인터넷방송
#게임
#코미디
#집착
#갤러리","인생을 세 번 사니.
저절로 훈수가 튀어나오더라.",60,https://images.novelpia.com/imagebox/cover/e2a60ba29e17a03998c2b760f66f2e4e_89828_ori.file
