url,title,authors,genre,views,likes,weekday,synopsis,tags
https://webtoon.kakao.com/content/가디언즈-오브-갤럭시-죽음의-보석/1362,가디언즈 오브 갤럭시 : 죽음의 보석,"크리스토스 게이지, 임강혁",판타지,743.2만,8.2만,토,"다음웹툰과 MARVEL의 두 번째 콜라보 웹툰. 지구에는 '어벤져스', 우주엔 '가.오.갤'이 있다!","압도되는, 몰입되는, 판타지 드라마"
https://webtoon.kakao.com/content/가론피/667,가론피,P,스릴러,"6,368.1만",6만,수,피P에 관한 피할 수 없는 옴니버스 공포만화가 펼쳐진다!,"등골 오싹한, 미스테리한, 공포/스릴러"
https://webtoon.kakao.com/content/간절히-원하면-우주가-들어줄거야/4224,간절히 원하면 우주가 들어줄거야,"따뇽, 학산문화사",로맨스,188.9만,2.4만,수,"어느 날 눈을 뜨니 손대는 것마다 부숴지는 괴력이 생겨난 힘찬. 원인을 찾을 수도, 해결 방법을 찾지도 못하던 나날이 이어지던 중, 주체할 수 없는 힘에 주변을 파괴하다 결국 썸남까지 다치게 하고 만다. 자괴감에 도망치듯 전학을 가 새로운 곳에서 조용히 살겠다 다짐한다. -이번에는 정말 조용하게 살거야! 미튜브를 보던 중 귀신과 무당에 대해 알게된 힘찬은, 밑져야 본전인 마음으로 근처 용하다는 무당을 찾아가게 된다. -신체를 접촉하고 있으면 힘을 억제할 수 있어, 지금처럼. 고대하던 해결책은 찾았지만 이게 무슨 청천벽력같은 소리?","발랄한, 웃기는, 로맨스"
https://webtoon.kakao.com/content/개와-토끼의-주인/855,개와 토끼의 주인,이원진,코믹/일상,1.1억,69.2만,,메트로놈 이원진 작가의 조금은 다른 반려동물 이야기,"귀여운, 공감되는, 코믹/일상"
https://webtoon.kakao.com/content/거울아씨전/738,거울아씨전,환상거북,판타지,"1,787.2만","1,787",,내가 원하던 여자친구의 모습을 한 거울아씨와의 미스터리한 동거,"긴장감 있는, 몰입되는, 판타지 드라마"
https://webtoon.kakao.com/content/거인의-꽃/4344,거인의 꽃,김종훈,학원/판타지,269.1만,4.4만,금,그랑디스 왕가의 유일한 공주 '카리아'는 첫째 오라버니의 왕위 계승식에서 벌어진 반란으로 다섯 남자 형제를 모두 잃는다. 갑작스레 유일한 왕위 계승자가 된 그녀는 검은 기사 '시에라'의 도움으로 가까스로 수도에서 탈출하지만 어린 소녀를 따르는 것은 오로지 다섯 명의 기사뿐. 원치 않던 왕관의 무게를 지게 된 카리아는 그녀에게 충성을 맹세한 다섯의 기사와 함께 가족들을 죽인 숙부 '지그란디스'로부터 왕국을 되찾기 위한 싸움을 시작한다.,"압도되는, 몰입되는, 학원/판타지"
https://webtoon.kakao.com/content/검둥이-이야기/907,검둥이 이야기,윤필,드라마,723만,6.9만,,흰둥이 윤필 작가가 그려내는 또 하나의 가슴 절절한 이야기,"따뜻한, 슬픈, 드라마"
https://webtoon.kakao.com/content/겨울하나/635,겨울하나,마루,판타지,"1,363.3만",1.8만,,유령소년 유가온이 죽은뒤에 맞는 첫 인연에 대한 이야기,"설레는, 몰입되는, 판타지 드라마"
https://webtoon.kakao.com/content/결혼해도-똑같네/842,결혼해도 똑같네,네온비,코믹/일상,1.4억,42.2만,,"만화가 네온비, 캐러멜 부부 탄생! 그리고 이어지는 충격 개그 신화!","웃기는, 공감되는, 코믹/일상"
https://webtoon.kakao.com/content/계마로의-블로그/1119,계마로의 블로그,나날,코믹/일상,"2,073.1만",24.8만,일,"귀여움의 대명사, 웰시코기와 하우스 쉐어! 이 개.. 아니 이분과 잘 지낼 수 있을까?","귀여운, 웃기는, 코믹/일상"
