url,title,authors,weekday,tags,total_episodes,likes,synopsis,thumbnail_url,error
https://comic.naver.com/webtoon/list?titleId=729047,공유몽,"주신, 유령선",토,"판타지, 이능력, 배틀, 액션, 서바이벌, 세계관, 이능력배틀물, 먼치킨",270,185262,"잠이 들면 또 다른 세계가 펼쳐진다!
꿈을 빼앗긴 자들이 모이는 곳 ‘큐브’
고유한 능력과 아이템을 부여받은 ‘큐버’
존재하지 않았던 일곱 번째 형태의 아이템을 계승한 ‘도시언’의 성장 액션 먼치킨 판타지!",https://shared-comic.pstatic.net/thumb/webtoon/729047/thumbnail/thumbnail_IMAG21_3a569ac9-9ba9-448e-8438-eb2b8bdab961.jpg,
https://comic.naver.com/webtoon/list?titleId=729964,만물의 영장,보민,목,"개그, 판타지개그, 액션, 병맛, 4차원, 이능력배틀물, 인외존재, 소년왕도물, 동물, 먼치킨",264,117312,"바다에 빠져 실종된 후, 무인도에서 7년 만에 살아 돌아온 우영장의 좌충우돌 문명 적응기!
그의 몸은 단단한 근육질로 변했고 온갖 동물과의 의사소통은 물론, 특별한 능력까지 구사하며 사건사고가 끊이질 않는다.
과연 영장은 밀림보다 무섭다는 도시에서 살아남을 수 있을까?",https://shared-comic.pstatic.net/thumb/webtoon/729964/thumbnail/thumbnail_IMAG21_3625061d-dadd-4e0c-96cd-9fcf1fe584c9.jpg,
https://comic.naver.com/webtoon/list?titleId=730425,"판타지 여동생!
휴재",유누,수,"판타지, 액션판타지, 마법, 크리처, 가족, 가벼운, 던전물, 개그, 게임판타지",306,128221,"게임 초보 여동생의 RPG 도전기.
트롤 취급은 노노! 제가 사실 엄청난 히든 직업을 갖고 있거든요?",https://shared-comic.pstatic.net/thumb/webtoon/730425/thumbnail/thumbnail_IMAG21_3835209134721021750.jpg,
https://comic.naver.com/webtoon/list?titleId=730656,사신소년,류,화,"액션, 액션판타지, 학원액션, 현대, 동양, 소년물, 판타지, 이능력배틀물, 소년왕도물, 먼치킨, 다크판타지",293,673770,"수명을 대가로 죽은 자의 능력을 빌리는 소년!
화려한 액션에서 부터 스포츠, 두뇌 플레이까지 한계는 없다!",https://shared-comic.pstatic.net/thumb/webtoon/730656/thumbnail/thumbnail_IMAG21_fc6d8dbf-eed2-43d0-af45-2edb3cc4244e.jpg,
https://comic.naver.com/webtoon/list?titleId=730694,초인의 시대,섭이,토,"액션, 액션판타지, 현대, 소년물, 판타지, 최강자전, 2018 최강자전, 이능력배틀물, 소년왕도물, 먼치킨",203,554589,"지구에 근원 모를 괴물들이 출현하고
그들을 제압하는 '초인'들 또한 등장한다.
정체불명의 괴물과 초인, 바야흐로 '초인의 시대'가 도래한다!",https://shared-comic.pstatic.net/thumb/webtoon/730694/thumbnail/thumbnail_IMAG21_29c75eb5-39f4-4608-8c79-737bc8330bb0.jpg,
https://comic.naver.com/webtoon/list?titleId=733074,백수세끼,치즈,월,"드라마, 리얼로맨스, 공감, 캠퍼스, 오피스, 평범남, 평범녀, 재회, 음식&요리, 감성드라마",244,504181,"백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?
음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!",https://shared-comic.pstatic.net/thumb/webtoon/733074/thumbnail/thumbnail_IMAG21_80df3e76-47af-4007-b57c-e8f2830835e5.jpg,
https://comic.naver.com/webtoon/list?titleId=733280,나를 바꿔줘,"이지호, 호띠",토,"드라마, 고자극드라마, 자극적인, 사회고발, 악역이주인공, 빌런, 판타지, 참교육, 피카레스크, 복수극, 걸크러시",312,316735,"수상한 생명보험에 드는 조건으로, 하루 아침에 내가 원하는 외모로 살 수 있게 된다면?
인생을 바꾸기 위해 얼굴을 훔치다!",https://shared-comic.pstatic.net/thumb/webtoon/733280/thumbnail/thumbnail_IMAG21_d0cac92e-cbe4-42ef-aec0-a81ecffb26ef.jpg,
https://comic.naver.com/webtoon/list?titleId=734574,"영앤리치가 아니야!
휴재",최삡뺩,월,"개그, 할리퀸, 청춘, 짝사랑남, 능력남, 재벌남, 소심녀, 순진녀, 다정녀, 병맛, 재벌, 다정남, 하이틴, 학원로맨스, 학원물, 직진남, 청춘로맨스",140,52941,"<공대생 너무만화> 최삡뺩 작가의 개그로맨스 신작!
모든 게 완벽한 퍼렁식품 CEO의 아들 서민준.
어른들과 친구들에게는 인기 폭발이지만, 여자친구를 사귀어 본 적 없는 모태솔로다.
민준은 같은 학교 여학생 새영에게 반하게 되는데, 새영의 이상형은 흙수저이지만 노력하는 사람이고, 자기보다 잘난 남자를 매우 싫어한다고?
사랑을 얻기 위해 영앤리치를 숨겨야하는 민준이의 첫 연애 도전기!",https://shared-comic.pstatic.net/thumb/webtoon/734574/thumbnail/thumbnail_IMAG21_8688bbf6-1067-465b-9070-4fef7c1ab1cd.jpg,
https://comic.naver.com/webtoon/list?titleId=735661,재혼 황후,"히어리, 숨풀, 알파타르트",금,"로맨스, 사연녀, 다정남, 후회물, 궁중로맨스, 혐관로맨스, 직진남, 이세계, 역하렘, 연상연하, 삼각관계, 선결혼후연애, 로판, 걸크러시, 소설원작",232,975619,"동대제국의 완벽한 황후였던 나비에.
​황제인 남편이 정부를 황후로 만들려는 것을 알고 이혼을 택한다. 그리고 결심한다.
이곳에서 황후가 될 수 없다면 다른 곳에서 황후가 되겠다고.
인기 웹소설 '재혼 황후'가 웹툰화되다!",https://shared-comic.pstatic.net/thumb/webtoon/735661/thumbnail/thumbnail_IMAG21_2e35b4aa-4459-42fd-84a8-eae732910422.jpg,
https://comic.naver.com/webtoon/list?titleId=742105,미래의 골동품 가게,구아진,수,"스릴러, 오컬트판타지, 시리어스, 현대, 동양, 신화, 크리처, 오컬트, 동양풍판타지, 서스펜스, 괴담",227,343471,"남해의 먼 섬에 살고 있는 소녀, '미래'.
미래의 부모님이 바다에서 돌아오지 못한 그날부터, 모든 것들이 변하기 시작했다.
저주를 풀기 위한 단 한 가지의 방법.
소중한 것들을 지키기 위한 기묘한 소녀의 퇴마가 시작된다.",https://shared-comic.pstatic.net/thumb/webtoon/742105/thumbnail/thumbnail_IMAG21_a3860cc1-f927-4031-92fd-8d89b9801127.jpg,
https://comic.naver.com/webtoon/list?titleId=743139,한림체육관,"혜성, 이석재",화,"액션, 학원액션, 열혈, 소년물, 격투기, 블루스트링, 슈퍼스트링, 학원물, 소년왕도물",243,397906,"'세상에서 가장 강한 남자가 되고 싶다.'
그릇된 강함을 실천하던 전영하가 한림체육관에 들어와 진정한 강함을 깨닫고 무도인으로 거듭나는 학원 액션물",https://shared-comic.pstatic.net/thumb/webtoon/743139/thumbnail/thumbnail_IMAG21_0a0e585b-979a-4f1d-9cec-97d0abf5ef3d.jpg,
https://comic.naver.com/webtoon/list?titleId=745876,"플레이어
휴재","박종석, 오현준",금,"액션, 액션판타지, 소년물, 판타지, 가벼운, 게임판타지, 힘숨찐, 하이틴, 이능력배틀물, 빙의, 먼치킨",246,237943,베댓 공약으로 어쩌다 웹툰 속 주인공이 되었다!,https://shared-comic.pstatic.net/thumb/webtoon/745876/thumbnail/thumbnail_IMAG21_9947babf-41e3-4bd3-b7a8-86fa47efa4b9.jpg,
https://comic.naver.com/webtoon/list?titleId=746857,무사만리행,"운, 배민기",목,"무협/사극, 성장물, 퓨전사극, 판무, 먼치킨",242,251394,"콤모두스 황제와의 혈투 후 3년, 나루는 다시 한번 모든 것을 잃었다.",https://shared-comic.pstatic.net/thumb/webtoon/746857/thumbnail/thumbnail_IMAG21_9a0d4005-34a6-4fb5-a9dc-61a305cb580d.jpg,
https://comic.naver.com/webtoon/list?titleId=747269,전지적 독자 시점,"UMI, 슬리피-C, 싱숑",수,"판타지, 레드아이스 스튜디오, 게임, 세계관, 아포칼립스, 게임판타지, 헌터물, 이능력배틀물, 먼치킨, 구원서사, 소설원작",277,1336788,"'이건 내가 아는 그 전개다'
한순간에 세계가 멸망하고, 새로운 세상이 펼쳐졌다.
오직 나만이 완주했던 소설 세계에서 평범했던 독자의 새로운 삶이 시작된다.",https://shared-comic.pstatic.net/thumb/webtoon/747269/thumbnail/thumbnail_IMAG21_aabd9952-ff45-47a2-a543-33f19a5c6708.jpg,
https://comic.naver.com/webtoon/list?titleId=747271,나노마신,"현절무, 금강불괴, 한중월야",목,"무협/사극, 레드아이스 스튜디오, 사이다, 게임, 상태창, 참교육, sf, 판무, 이능력배틀물, 먼치킨, 소설원작",274,705733,"갖은 멸시와 목숨의 위협을 받던 마교의 사생아 천여운,
미래에서 나타난 후손이 천여운의 몸에 나노 머신을 주입한 후 그의 인생이 송두리째 바뀐다.
마교를 넘어 무림 최고의 자리에 오르기 위한 천여운의 거침없는 이야기가 시작된다!",https://shared-comic.pstatic.net/thumb/webtoon/747271/thumbnail/thumbnail_IMAG21_d46b4a69-6de0-41be-b368-ce5e74ab8f76.jpg,
https://comic.naver.com/webtoon/list?titleId=750184,나쁜사람,둠스,수,"액션, 사이다, 학원액션, 참교육, 가벼운, 개그, 격투기, 학원로맨스, 학원물, 느와르",267,420369,"착한 남자가 좋다는 그녀의 이상형이 되기 위해 10년 동안 노력했다.
그런데! 갑자기 나쁜 남자가 좋다는 그녀...

오늘부터 난... 나쁜 남자로 다시 태어난다.",https://shared-comic.pstatic.net/thumb/webtoon/750184/thumbnail/thumbnail_IMAG21_adfbd65f-18fa-4268-81db-ec88ae4aa8b1.jpg,
https://comic.naver.com/webtoon/list?titleId=750826,빌드업,911,수,"스포츠, 2019 지상최대공모전, 축구, 소년왕도물, 스포츠성장",197,315455,"축구덕후지만 볼보이만 5년째?!
빵셔틀 강마루의 열혈청춘 축구드라마",https://shared-comic.pstatic.net/thumb/webtoon/750826/thumbnail/thumbnail_IMAG21_d7a15cf7-bee5-4fa9-93be-19a2d0d3d6f3.jpg,
